report_date,state,inpatient_beds,inpatient_beds_used,bed_utilization_pct,icu_covid_patients,covid_admissions,covid_admissions_suspected
2023-01-21,AK,1378,1055,76.56,3.0,2,0.0
2023-01-22,AK,1412,1002,70.96,7.0,7,0.0
2023-01-23,AK,1427,1021,71.55,4.0,5,0.0
2023-01-24,AK,1385,1049,75.74,5.0,3,1.0
2023-01-25,AK,1362,1047,76.87,6.0,4,1.0
2023-01-21,AL,13476,10268,76.19,104.0,67,43.0
2023-01-22,AL,13498,10200,75.57,106.0,63,37.0
2023-01-23,AL,13352,10186,76.29,104.0,66,39.0
2023-01-24,AL,13222,10297,77.88,97.0,92,66.0
2023-01-25,AL,13455,10507,78.09,87.0,68,51.0
2023-01-21,AR,7727,5369,69.48,55.0,33,54.0
2023-01-22,AR,7641,5213,68.22,51.0,24,43.0
2023-01-23,AR,7776,5331,68.56,56.0,24,63.0
2023-01-24,AR,7991,5878,73.56,62.0,40,75.0
2023-01-25,AR,7878,5847,74.22,68.0,39,65.0
2023-01-21,AS,150,48,32.0,0.0,0,0.0
2023-01-22,AS,150,50,33.33,0.0,0,0.0
2023-01-23,AS,150,46,30.67,0.0,0,0.0
2023-01-24,AS,150,44,29.33,0.0,0,0.0
2023-01-25,AS,150,53,35.33,0.0,0,0.0
2023-01-21,AZ,14586,11646,79.84,59.0,66,136.0
2023-01-22,AZ,14542,11242,77.31,60.0,44,124.0
2023-01-23,AZ,14401,11286,78.37,62.0,53,127.0
2023-01-24,AZ,14574,11742,80.57,51.0,50,155.0
2023-01-25,AZ,14667,11833,80.68,60.0,56,154.0
2023-01-22,CA,61477,48401,78.73,383.0,320,265.0
2023-01-23,CA,61774,48455,78.44,394.0,330,275.0
2023-01-24,CA,62328,50184,80.52,415.0,423,345.0
2023-01-25,CA,63285,51386,81.2,390.0,432,344.0
2023-01-26,CA,63503,51442,81.01,355.0,415,353.0
2023-01-21,CO,10477,6981,66.63,36.0,38,26.0
2023-01-22,CO,10476,6790,64.81,33.0,30,31.0
2023-01-23,CO,10372,6961,67.11,36.0,32,28.0
2023-01-24,CO,10386,7176,69.09,36.0,44,35.0
2023-01-25,CO,10515,7319,69.61,42.0,36,42.0
2023-01-21,CT,7521,5953,79.15,64.0,85,26.0
2023-01-22,CT,7518,5808,77.25,54.0,67,25.0
2023-01-23,CT,7516,5848,77.81,48.0,63,17.0
2023-01-24,CT,7514,6069,80.77,50.0,70,27.0
2023-01-25,CT,7508,6071,80.86,40.0,81,35.0
2023-01-21,DC,3220,2660,82.61,21.0,14,50.0
2023-01-22,DC,3202,2601,81.23,22.0,6,29.0
2023-01-23,DC,3205,2671,83.34,25.0,17,46.0
2023-01-24,DC,3214,2703,84.1,25.0,17,46.0
2023-01-25,DC,3224,2733,84.77,26.0,19,47.0
2023-01-21,DE,2562,2189,85.44,18.0,15,27.0
2023-01-22,DE,2549,2195,86.11,15.0,14,22.0
2023-01-23,DE,2440,2106,86.31,16.0,15,29.0
2023-01-24,DE,2461,2099,85.29,14.0,17,25.0
2023-01-25,DE,2584,2212,85.6,15.0,16,22.0
2023-01-21,FL,56960,45404,79.71,310.0,402,155.0
2023-01-22,FL,56807,44680,78.65,295.0,306,162.0
2023-01-23,FL,55316,43870,79.31,297.0,328,152.0
2023-01-24,FL,55512,45232,81.48,328.0,386,171.0
2023-01-25,FL,57273,46963,82.0,334.0,384,178.0
2023-01-21,GA,21007,16502,78.55,202.0,129,105.0
2023-01-22,GA,20891,16194,77.52,219.0,125,101.0
2023-01-23,GA,20145,15833,78.6,213.0,104,119.0
2023-01-24,GA,20229,16218,80.17,199.0,121,128.0
2023-01-25,GA,21310,17084,80.17,180.0,153,117.0
2023-01-21,HI,2525,2009,79.56,14.0,18,9.0
2023-01-22,HI,2514,1997,79.44,11.0,16,3.0
2023-01-23,HI,2535,1997,78.78,8.0,8,3.0
2023-01-24,HI,2537,1958,77.18,8.0,14,3.0
2023-01-25,HI,2536,1991,78.51,7.0,8,9.0
2023-01-21,IA,7025,4516,64.28,10.0,18,8.0
2023-01-22,IA,7024,4367,62.17,9.0,19,6.0
2023-01-23,IA,7003,4504,64.32,10.0,27,7.0
2023-01-24,IA,7018,4770,67.97,16.0,25,13.0
2023-01-25,IA,7040,4851,68.91,11.0,24,14.0
2023-01-21,ID,2932,2024,69.03,6.0,6,3.0
2023-01-22,ID,2961,2001,67.58,8.0,13,3.0
2023-01-23,ID,2703,1853,68.55,8.0,3,0.0
2023-01-24,ID,2746,1943,70.76,6.0,9,4.0
2023-01-25,ID,3026,2220,73.36,4.0,17,3.0
2023-01-21,IL,28619,20024,69.97,128.0,145,186.0
2023-01-22,IL,28612,19395,67.79,134.0,150,145.0
2023-01-23,IL,28454,19417,68.24,130.0,131,170.0
2023-01-24,IL,28488,20126,70.65,125.0,177,198.0
2023-01-25,IL,28650,20581,71.84,121.0,153,184.0
2023-01-21,IN,14784,10413,70.43,63.0,64,36.0
2023-01-22,IN,14802,9982,67.44,66.0,49,22.0
2023-01-23,IN,15062,10269,68.18,62.0,52,48.0
2023-01-24,IN,15027,10888,72.46,61.0,55,45.0
2023-01-25,IN,15010,10884,72.51,70.0,81,41.0
2023-01-21,KS,8019,4657,58.07,29.0,26,41.0
2023-01-22,KS,7956,4430,55.68,26.0,26,30.0
2023-01-23,KS,7983,4494,56.29,26.0,21,42.0
2023-01-24,KS,8011,4750,59.29,27.0,24,53.0
2023-01-25,KS,8036,4797,59.69,25.0,42,37.0
2023-01-21,KY,12054,9297,77.13,76.0,48,63.0
2023-01-22,KY,11971,8918,74.5,75.0,45,69.0
2023-01-23,KY,11606,8756,75.44,94.0,50,90.0
2023-01-24,KY,11705,9182,78.45,83.0,55,77.0
2023-01-25,KY,12190,9731,79.83,70.0,66,76.0
2023-01-21,LA,12523,8696,69.44,68.0,66,6.0
2023-01-22,LA,12567,8443,67.18,71.0,41,7.0
2023-01-23,LA,12477,8518,68.27,79.0,57,6.0
2023-01-24,LA,12644,9034,71.45,67.0,47,8.0
2023-01-25,LA,12604,9026,71.61,66.0,69,12.0
